Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,SQ_WAVES,SQ_BUSY_CYCLES,SQC_LDS_BANK_CONFLICT
0,"__amd_rocclr_copyBuffer.kd",1,0,0,28947,28947,512,512,0,0,16,0,128,32,0x0,0x76ca721f57c0,16,7855,0
1,"__amd_rocclr_copyBuffer.kd",1,0,208,28947,28947,512,512,0,0,16,0,128,32,0x0,0x76ca721f57c0,16,4409,0
2,"__amd_rocclr_copyBuffer.kd",1,0,218,28947,28947,512,512,0,0,16,0,128,32,0x0,0x76ca721f57c0,16,4397,0
3,"__amd_rocclr_copyBuffer.kd",1,0,220,28947,28947,512,512,0,0,16,0,128,32,0x0,0x76ca721f57c0,16,5324,0
4,"__amd_rocclr_copyBuffer.kd",1,0,254,28947,28947,512,512,0,0,16,0,128,32,0x0,0x76ca721f57c0,16,4818,0
5,"__amd_rocclr_copyBuffer.kd",1,0,264,28947,28947,512,512,0,0,16,0,128,32,0x0,0x76ca721f57c0,16,4355,0
6,"__amd_rocclr_copyBuffer.kd",1,0,298,28947,28947,512,512,0,0,16,0,128,32,0x0,0x76ca721f57c0,16,4708,0
7,"__amd_rocclr_copyBuffer.kd",1,0,308,28947,28947,512,512,0,0,16,0,128,32,0x0,0x76ca721f57c0,16,4422,0
8,"__amd_rocclr_copyBuffer.kd",1,0,337,28947,28947,512,512,0,0,16,0,128,32,0x0,0x76ca721f57c0,16,4408,0
9,"__amd_rocclr_copyBuffer.kd",1,0,347,28947,28947,512,512,0,0,16,0,128,32,0x0,0x76ca721f57c0,16,4435,0
10,"__amd_rocclr_copyBuffer.kd",1,0,376,28947,28947,512,512,0,0,16,0,128,32,0x0,0x76ca721f57c0,16,7973,0
11,"__amd_rocclr_copyBuffer.kd",1,0,386,28947,28947,512,512,0,0,16,0,128,32,0x0,0x76ca721f57c0,16,5120,0
12,"__amd_rocclr_copyBuffer.kd",1,0,420,28947,28947,512,512,0,0,16,0,128,32,0x0,0x76ca721f57c0,16,4684,0
13,"__amd_rocclr_copyBuffer.kd",1,0,430,28947,28947,512,512,0,0,16,0,128,32,0x0,0x76ca721f57c0,16,4635,0
14,"__amd_rocclr_copyBuffer.kd",1,0,459,28947,28947,512,512,0,0,16,0,128,32,0x0,0x76ca721f57c0,16,5446,0
