Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,SQC_LDS_BANK_CONFLICT
0,"__amd_rocclr_copyBuffer.kd",1,0,0,32515,32515,512,512,0,0,16,0,128,32,0x0,0x7dc4fc5f57c0,0
1,"__amd_rocclr_copyBuffer.kd",1,0,175,32515,32515,512,512,0,0,16,0,128,32,0x0,0x7dc4fc5f57c0,0
2,"__amd_rocclr_copyBuffer.kd",1,0,183,32515,32515,512,512,0,0,16,0,128,32,0x0,0x7dc4fc5f57c0,0
3,"__amd_rocclr_copyBuffer.kd",1,0,185,32515,32515,512,512,0,0,16,0,128,32,0x0,0x7dc4fc5f57c0,0
4,"__amd_rocclr_copyBuffer.kd",1,0,208,32515,32515,512,512,0,0,16,0,128,32,0x0,0x7dc4fc5f57c0,0
5,"__amd_rocclr_copyBuffer.kd",1,0,216,32515,32515,512,512,0,0,16,0,128,32,0x0,0x7dc4fc5f57c0,0
6,"__amd_rocclr_copyBuffer.kd",1,0,239,32515,32515,512,512,0,0,16,0,128,32,0x0,0x7dc4fc5f57c0,0
7,"__amd_rocclr_copyBuffer.kd",1,0,247,32515,32515,512,512,0,0,16,0,128,32,0x0,0x7dc4fc5f57c0,0
8,"__amd_rocclr_copyBuffer.kd",1,0,270,32515,32515,512,512,0,0,16,0,128,32,0x0,0x7dc4fc5f57c0,0
9,"__amd_rocclr_copyBuffer.kd",1,0,278,32515,32515,512,512,0,0,16,0,128,32,0x0,0x7dc4fc5f57c0,0
10,"__amd_rocclr_copyBuffer.kd",1,0,301,32515,32515,512,512,0,0,16,0,128,32,0x0,0x7dc4fc5f57c0,0
11,"__amd_rocclr_copyBuffer.kd",1,0,309,32515,32515,512,512,0,0,16,0,128,32,0x0,0x7dc4fc5f57c0,0
12,"__amd_rocclr_copyBuffer.kd",1,0,332,32515,32515,512,512,0,0,16,0,128,32,0x0,0x7dc4fc5f57c0,0
13,"__amd_rocclr_copyBuffer.kd",1,0,340,32515,32515,512,512,0,0,16,0,128,32,0x0,0x7dc4fc5f57c0,0
14,"__amd_rocclr_copyBuffer.kd",1,0,363,32515,32515,512,512,0,0,16,0,128,32,0x0,0x7dc4fc5f57c0,0
15,"__amd_rocclr_copyBuffer.kd",1,0,371,32515,32515,512,512,0,0,16,0,128,32,0x0,0x7dc4fc5f57c0,0
16,"__amd_rocclr_copyBuffer.kd",1,0,394,32515,32515,512,512,0,0,16,0,128,32,0x0,0x7dc4fc5f57c0,0
17,"__amd_rocclr_copyBuffer.kd",1,0,402,32515,32515,512,512,0,0,16,0,128,32,0x0,0x7dc4fc5f57c0,0
18,"__amd_rocclr_copyBuffer.kd",1,0,425,32515,32515,512,512,0,0,16,0,128,32,0x0,0x7dc4fc5f57c0,0
19,"__amd_rocclr_copyBuffer.kd",1,0,433,32515,32515,512,512,0,0,16,0,128,32,0x0,0x7dc4fc5f57c0,0
20,"__amd_rocclr_copyBuffer.kd",1,0,456,32515,32515,512,512,0,0,16,0,128,32,0x0,0x7dc4fc5f57c0,0
21,"__amd_rocclr_copyBuffer.kd",1,0,464,32515,32515,512,512,0,0,16,0,128,32,0x0,0x7dc4fc5f57c0,0
22,"__amd_rocclr_copyBuffer.kd",1,0,487,32515,32515,512,512,0,0,16,0,128,32,0x0,0x7dc4fc5f57c0,0
23,"__amd_rocclr_copyBuffer.kd",1,0,495,32515,32515,512,512,0,0,16,0,128,32,0x0,0x7dc4fc5f57c0,0
24,"__amd_rocclr_copyBuffer.kd",1,0,518,32515,32515,512,512,0,0,16,0,128,32,0x0,0x7dc4fc5f57c0,0
25,"__amd_rocclr_copyBuffer.kd",1,0,526,32515,32515,512,512,0,0,16,0,128,32,0x0,0x7dc4fc5f57c0,0
26,"__amd_rocclr_copyBuffer.kd",1,0,550,32515,32515,512,512,0,0,16,0,128,32,0x0,0x7dc4fc5f57c0,0
27,"__amd_rocclr_copyBuffer.kd",1,0,558,32515,32515,512,512,0,0,16,0,128,32,0x0,0x7dc4fc5f57c0,0
28,"__amd_rocclr_copyBuffer.kd",1,0,581,32515,32515,512,512,0,0,16,0,128,32,0x0,0x7dc4fc5f57c0,0
29,"__amd_rocclr_copyBuffer.kd",1,0,589,32515,32515,512,512,0,0,16,0,128,32,0x0,0x7dc4fc5f57c0,0
30,"__amd_rocclr_copyBuffer.kd",1,0,612,32515,32515,512,512,0,0,16,0,128,32,0x0,0x7dc4fc5f57c0,0
31,"__amd_rocclr_copyBuffer.kd",1,0,620,32515,32515,512,512,0,0,16,0,128,32,0x0,0x7dc4fc5f57c0,0
32,"__amd_rocclr_copyBuffer.kd",1,0,643,32515,32515,512,512,0,0,16,0,128,32,0x0,0x7dc4fc5f57c0,0
33,"__amd_rocclr_copyBuffer.kd",1,0,651,32515,32515,512,512,0,0,16,0,128,32,0x0,0x7dc4fc5f57c0,0
34,"__amd_rocclr_fillBufferAligned.kd",1,0,675,32515,32515,12288,256,0,0,16,0,128,32,0x0,0x7dc4fc5f5740,0
35,"__amd_rocclr_copyBuffer.kd",1,0,677,32515,32515,512,512,0,0,16,0,128,32,0x0,0x7dc4fc5f57c0,0
36,"__amd_rocclr_copyBuffer.kd",1,0,679,32515,32515,512,512,0,0,16,0,128,32,0x0,0x7dc4fc5f57c0,0
37,"__amd_rocclr_copyBuffer.kd",1,0,681,32515,32515,512,512,0,0,16,0,128,32,0x0,0x7dc4fc5f57c0,0
