Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,SQ_WAVES
42,"void tmac_gemv_direct<(ggml_type)16, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,1,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d9c0,2048
44,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,3,3413214,3413214,16384,256,0,0,72,0,128,32,0x0,0x78416952cfc0,512
45,"void tmac_gemv_direct<(ggml_type)16, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,4,3413214,3413214,16384,256,9216,0,96,0,128,32,0x0,0x78416952d9c0,512
52,"void tmac_gemv_direct<(ggml_type)16, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,11,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d980,2048
54,"void tmac_gemv_fused_glu<(ggml_type)16, (ggml_glu_op)2>(float*, void const*, void const*, float const*, int, int, int const*, long, int) [clone .kd]",1,1,13,3413214,3413214,262144,256,9216,0,104,0,128,32,0x0,0x78416952da00,8192
58,"void tmac_gemv_direct<(ggml_type)16, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,17,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d9c0,2048
60,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,19,3413214,3413214,16384,256,0,0,72,0,128,32,0x0,0x78416952cfc0,512
61,"void tmac_gemv_direct<(ggml_type)16, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,20,3413214,3413214,16384,256,9216,0,96,0,128,32,0x0,0x78416952d9c0,512
68,"void tmac_gemv_direct<(ggml_type)16, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,27,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d980,2048
70,"void tmac_gemv_fused_glu<(ggml_type)16, (ggml_glu_op)2>(float*, void const*, void const*, float const*, int, int, int const*, long, int) [clone .kd]",1,1,29,3413214,3413214,262144,256,9216,0,104,0,128,32,0x0,0x78416952da00,8192
74,"void tmac_gemv_direct<(ggml_type)16, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,33,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d9c0,2048
76,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,35,3413214,3413214,16384,256,0,0,72,0,128,32,0x0,0x78416952cfc0,512
77,"void tmac_gemv_direct<(ggml_type)16, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,36,3413214,3413214,16384,256,9216,0,96,0,128,32,0x0,0x78416952d9c0,512
84,"void tmac_gemv_direct<(ggml_type)16, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,43,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d980,2048
86,"void tmac_gemv_fused_glu<(ggml_type)16, (ggml_glu_op)2>(float*, void const*, void const*, float const*, int, int, int const*, long, int) [clone .kd]",1,1,45,3413214,3413214,262144,256,9216,0,104,0,128,32,0x0,0x78416952da00,8192
87,"void tmac_gemv_direct<(ggml_type)16, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,46,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d980,2048
89,"void tmac_gemv_direct<(ggml_type)16, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,48,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d9c0,2048
91,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,50,3413214,3413214,16384,256,0,0,72,0,128,32,0x0,0x78416952cfc0,512
92,"void tmac_gemv_direct<(ggml_type)16, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,51,3413214,3413214,16384,256,9216,0,96,0,128,32,0x0,0x78416952d9c0,512
99,"void tmac_gemv_direct<(ggml_type)16, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,58,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d980,2048
101,"void tmac_gemv_fused_glu<(ggml_type)16, (ggml_glu_op)2>(float*, void const*, void const*, float const*, int, int, int const*, long, int) [clone .kd]",1,1,60,3413214,3413214,262144,256,9216,0,104,0,128,32,0x0,0x78416952da00,8192
102,"void tmac_gemv_direct<(ggml_type)16, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,61,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d980,2048
104,"void tmac_gemv_direct<(ggml_type)16, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,63,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d9c0,2048
106,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,65,3413214,3413214,16384,256,0,0,72,0,128,32,0x0,0x78416952cfc0,512
107,"void tmac_gemv_direct<(ggml_type)16, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,66,3413214,3413214,16384,256,9216,0,96,0,128,32,0x0,0x78416952d9c0,512
